cod_localidad,id_provincia,id_departamento,categoria,provincia,departamento,localidad,nombre,direccion,piso,cp,web,latitud,longitud,tipo_latitud_longitud,fuente,sector,pantallas,butacas,tipo_de_gestion,espacio_incaa,año_actualizacion
06770050,06,06770,Salas de cine,Buenos Aires,San Pedro,San Pedro,La Palma,Belgrano 961,,2930,https://www.facebook.com/MEC.LaPalma/,-33.678826,-59.668011,Precisa,INCAA / SInCA,Cine,2,471,Privada,No,2022
06420040,06,06420,Salas de cine,Buenos Aires,La Costa,Santa Teresita,Atlantica Yanel,Calle 32 372,,7107,,-36.534911,-56.694027,Precisa,INCAA / SInCA,Cine,2,635,Privada,No,2022
06420040,06,06420,Salas de cine,Buenos Aires,La Costa,Santa Teresita,Atlantico,Calle 41 258,,7107,,-36.54343,-56.700912,Precisa,INCAA / SInCA,Cine,1,1107,Privada,No,2022
06791050,06,06791,Salas de cine,Buenos Aires,Tandil,Tandil,Cinemacenter Tandil,Panama 351,,7000,http://www.cinemacenter.com.ar/,-37.324258,-59.114758,Precisa,INCAA / SInCA,Cine,4,758,Privada,No,2022
06791050,06,06791,Salas de cine,Buenos Aires,Tandil,Tandil,Espacio INCAA Unicen,Yrigoyen 662,,7000,,-37.3261317,-59.1385772,Precisa,INCAA / SInCA,Cine,1,430,Pública,Si,2022
06798020,06,06798,Salas de cine,Buenos Aires,Tapalque,Tapalque,Centro Cultural Municipal Dr. Ricardo Romera,Av. 9 De Julio Y Av. San Martin,,7303,,-36.356939,-60.025212,Precisa,INCAA / SInCA,Cine,1,264,Pública,Si,2022
06490010,06,06490,Salas de cine,Buenos Aires,Lomas de Zamora,Temperley,Hoyts Temperley,Av. Hipolito Irigoyen 10699,,1834,https://www.cinemarkhoyts.com.ar/,-34.781692,-58.406675,Precisa,INCAA / SInCA,Cine,9,2382,Privada,No,2022
06515010,06,06515,Salas de cine,Buenos Aires,Malvinas Argentinas,Tortuguitas,Cinemark Tortuguitas,Constituyentes Y Au. Panamericana Km 36.5,,1667,https://www.cinemarkhoyts.com.ar,-34.453372,-58.728969,Precisa,INCAA / SInCA,Cine,8,1905,Privada,No,2022
06826050,06,06826,Salas de cine,Buenos Aires,Trenque Lauquen,Trenque Lauquen,Cine Barrio Alegre,9 De Julio 133,Planta Baja,6400,https://www.facebook.com/cinebarrio3d/,-35.972252,-62.73485,Precisa,INCAA / SInCA,Cine,1,1200,Privada,Si,2022
06847020,06,06847,Salas de cine,Buenos Aires,Tres Lomas,Tres Lomas,Cine Teatro Español,Monteverde 257,,6409,https://www.facebook.com/cinetreslomas/,-36.457207,-62.862913,Precisa,INCAA / SInCA,Cine,1,300,Privada,Si,2022
